unixtime,datetime,temperature,humidity
1485789130.48,"2017/01/31 00:12:10",20.627146,23.102159
1485789422.03,"2017/01/31 00:17:02",20.647288,23.102159
1485789433.74,"2017/01/31 00:17:13",20.657359,23.102159
1485789482.05,"2017/01/31 00:18:02",20.627146,23.102159
1485789541.37,"2017/01/31 00:19:01",20.627146,23.102159
1485789601.97,"2017/01/31 00:20:01",20.627146,23.004501
1485789662.08,"2017/01/31 00:21:02",20.627146,23.102159
1485813361.61,"2017/01/31 06:56:01",19.327993,18.347448
1485813421.35,"2017/01/31 06:57:01",19.368276,18.359655
1485813482.12,"2017/01/31 06:58:02",19.327993,18.445106
1485813541.66,"2017/01/31 06:59:01",19.327993,18.542763
1485813602.22,"2017/01/31 07:00:02",19.388418,18.548867
1485813901.86,"2017/01/31 07:05:01",19.660334,19.897765
1485814201.65,"2017/01/31 07:10:01",19.861753,20.099184
1485814501.51,"2017/01/31 07:15:01",20.093385,19.714656
1485814801.64,"2017/01/31 07:20:01",20.25452,19.72076
1485815101.52,"2017/01/31 07:25:01",20.445869,19.916075
1485815401.64,"2017/01/31 07:30:01",20.717784,20.404364
1485815701.63,"2017/01/31 07:35:01",20.848707,20.502022
1485816001.42,"2017/01/31 07:40:01",21.050126,20.514229
1485816302.26,"2017/01/31 07:45:02",21.181048,20.416571
1485816602.02,"2017/01/31 07:50:02",21.332113,20.318914
1485816901.85,"2017/01/31 07:55:01",21.372396,20.703441
1485817201.61,"2017/01/31 08:00:01",21.734951,21.295491
1485817502.15,"2017/01/31 08:05:02",21.775235,20.428779
1485817801.41,"2017/01/31 08:10:01",21.734951,20.331121
1485818101.85,"2017/01/31 08:15:01",21.734951,20.135805
1485818401.61,"2017/01/31 08:20:01",21.755093,20.044251
1485818702.19,"2017/01/31 08:25:02",21.775235,19.751278
1485819001.95,"2017/01/31 08:30:01",21.795377,19.562066
1485819301.6,"2017/01/31 08:35:01",21.83566,19.378958
1485819601.49,"2017/01/31 08:40:01",21.886015,19.2813
1485819901.72,"2017/01/31 08:45:01",21.906157,19.183642
1485820201.28,"2017/01/31 08:50:01",21.946441,19.085985
1485820501.38,"2017/01/31 08:55:01",21.996796,18.603799
1485820802.23,"2017/01/31 09:00:02",22.037079,18.414588
1485821101.24,"2017/01/31 09:05:01",22.077363,18.31693
1485821401.64,"2017/01/31 09:10:01",22.107576,18.219272
1485821701.44,"2017/01/31 09:15:01",22.168002,17.932403
1485822001.27,"2017/01/31 09:20:01",22.198215,18.036164
1485822301.8,"2017/01/31 09:25:01",22.248569,17.840848
1485822601.61,"2017/01/31 09:30:01",22.298924,18.036164
1485822902.06,"2017/01/31 09:35:02",22.35935,17.840848
1485823201.76,"2017/01/31 09:40:01",22.480201,18.323033
1485823501.49,"2017/01/31 09:45:01",22.480201,18.420691
1485823802.11,"2017/01/31 09:50:02",22.540627,17.938506
1485824101.93,"2017/01/31 09:55:01",22.550698,18.231479
1485824401.63,"2017/01/31 10:00:01",22.631266,18.139925
1485824701.43,"2017/01/31 10:05:01",22.691691,17.65774
1485825002.23,"2017/01/31 10:10:02",22.731975,17.468528
1485825302.08,"2017/01/31 10:15:02",22.78233,17.65774
1485825601.98,"2017/01/31 10:20:01",22.812543,17.273213
1485825901.34,"2017/01/31 10:25:01",22.852827,17.273213
1485826201.84,"2017/01/31 10:30:01",22.913252,17.273213
1485826501.58,"2017/01/31 10:35:01",22.99382,16.992447
1485826801.31,"2017/01/31 10:40:01",23.024033,16.992447
1485827102.06,"2017/01/31 10:45:02",23.034104,16.992447
1485827401.22,"2017/01/31 10:50:01",23.124743,16.607919
1485827701.88,"2017/01/31 10:55:01",23.175097,16.607919
1485828001.64,"2017/01/31 11:00:01",23.275807,16.314946
1485828302.13,"2017/01/31 11:05:02",23.336233,16.119631
1485828601.87,"2017/01/31 11:10:01",23.366445,16.32105
1485828901.67,"2017/01/31 11:15:01",23.396658,16.809339
1485829201.27,"2017/01/31 11:20:01",23.396658,16.614023
1485829501.47,"2017/01/31 11:25:01",23.467155,15.936522
1485829801.92,"2017/01/31 11:30:01",23.588006,15.649653
1485830101.9,"2017/01/31 11:35:01",23.618219,15.35668
1485830401.65,"2017/01/31 11:40:01",23.658503,15.35668
1485830701.39,"2017/01/31 11:45:01",23.708858,15.259022
1485831002.12,"2017/01/31 11:50:02",23.739071,15.259022
1485831301.66,"2017/01/31 11:55:01",23.859922,15.173571
1485831602.16,"2017/01/31 12:00:02",23.859922,14.978256
1485831901.96,"2017/01/31 12:05:01",23.980774,15.075914
1485832201.93,"2017/01/31 12:10:01",24.031128,14.880598
1485832502.19,"2017/01/31 12:15:02",24.081483,14.880598
1485832802.2,"2017/01/31 12:20:02",24.131838,15.082017
1485833101.75,"2017/01/31 12:25:01",24.141909,14.98436
1485833401.86,"2017/01/31 12:30:01",24.202335,14.886702
1485833702.19,"2017/01/31 12:35:02",24.172122,14.886702
1485834001.96,"2017/01/31 12:40:01",23.910277,16.717784
1485834302.23,"2017/01/31 12:45:02",24.081483,17.297627
1485834602.14,"2017/01/31 12:50:02",24.172122,17.79202
1485834901.97,"2017/01/31 12:55:01",24.202335,18.46952
1485835201.47,"2017/01/31 13:00:01",24.232547,18.75639
1485835501.26,"2017/01/31 13:05:01",24.232547,19.43389
1485835801.55,"2017/01/31 13:10:01",24.303044,20.404364
1485836101.36,"2017/01/31 13:15:01",24.47425,20.508125
1485836401.73,"2017/01/31 13:20:01",24.454108,21.380941
1485836701.33,"2017/01/31 13:25:01",24.534676,21.570153
1485837002.04,"2017/01/31 13:30:02",24.585031,22.058442
1485837301.69,"2017/01/31 13:35:01",24.585031,22.827497
1485837601.68,"2017/01/31 13:40:01",24.605173,22.735943
1485837901.63,"2017/01/31 13:45:01",24.736095,22.442969
1485838202.19,"2017/01/31 13:50:02",24.776379,22.638285
1485838501.38,"2017/01/31 13:55:01",24.796521,22.925154
1485838801.96,"2017/01/31 14:00:01",24.836805,23.022812
1485839101.41,"2017/01/31 14:05:01",24.907301,22.839704
